	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	management	management	management	management	management	management	management	management	management	management	management	management	management	management	management	management
																
1950.cohort_ceo	0.220	0.220	0.220	0.220	0.220	0.220	0.227	0.228	0.228	0.341	0.228	0.341	0.423	0.273	0.442	0.478
	(0.217)	(0.217)	(0.217)	(0.217)	(0.217)	(0.217)	(0.242)	(0.250)	(0.250)	(0.266)	(0.250)	(0.266)	(0.437)	(0.305)	(0.349)	(0.435)
1955.cohort_ceo	0.625***	0.625***	0.625***	0.625***	0.625***	0.625***	0.694***	0.626***	0.626***	0.880***	0.626***	0.880***	0.0510	0.659***	0.985***	-0.00145
	(0.197)	(0.197)	(0.197)	(0.197)	(0.197)	(0.197)	(0.221)	(0.224)	(0.224)	(0.267)	(0.224)	(0.267)	(0.449)	(0.249)	(0.318)	(0.479)
1960.cohort_ceo	0.833***	0.833***	0.833***	0.833***	0.833***	0.833***	0.935***	0.871***	0.871***	1.090***	0.871***	1.090***	0.119	0.891***	1.192***	0.0537
	(0.166)	(0.166)	(0.166)	(0.166)	(0.166)	(0.166)	(0.174)	(0.194)	(0.194)	(0.219)	(0.194)	(0.219)	(0.334)	(0.209)	(0.247)	(0.386)
1965.cohort_ceo	0.687***	0.687***	0.687***	0.687***	0.687***	0.687***	0.831***	0.748***	0.748***	0.966***	0.748***	0.966***	-0.109	0.817***	1.114***	-0.163
	(0.171)	(0.171)	(0.171)	(0.171)	(0.171)	(0.171)	(0.198)	(0.218)	(0.218)	(0.254)	(0.218)	(0.254)	(0.299)	(0.239)	(0.291)	(0.346)
1970.cohort_ceo	0.693***	0.693***	0.693***	0.693***	0.693***	0.693***	0.788***	0.720***	0.720***	0.940***	0.720***	0.940***	-0.265	0.692***	0.940***	0.0288
	(0.180)	(0.180)	(0.180)	(0.180)	(0.180)	(0.180)	(0.202)	(0.227)	(0.227)	(0.246)	(0.227)	(0.246)	(0.723)	(0.250)	(0.290)	(0.591)
1975.cohort_ceo	0.777***	0.777***	0.777***	0.777***	0.777***	0.777***	0.824***	0.770***	0.770***	0.953***	0.770***	0.953***	-0.380	0.770***	1.013***	-0.455
	(0.245)	(0.245)	(0.245)	(0.245)	(0.245)	(0.245)	(0.247)	(0.276)	(0.276)	(0.308)	(0.276)	(0.308)	(0.308)	(0.279)	(0.326)	(0.364)
1980.cohort_ceo	0.719***	0.719***	0.719***	0.719***	0.719***	0.719***	0.919***	0.825***	0.825***	0.959***	0.825***	0.959***		0.864***	1.047***	
	(0.207)	(0.207)	(0.207)	(0.207)	(0.207)	(0.207)	(0.244)	(0.263)	(0.263)	(0.279)	(0.263)	(0.279)		(0.312)	(0.338)	
1985.cohort_ceo	0.245	0.245	0.245	0.245	0.245	0.245	0.175	0.126	0.126	0.267	0.126	0.267		0.125	0.322	
	(0.153)	(0.153)	(0.153)	(0.153)	(0.153)	(0.153)	(0.143)	(0.176)	(0.176)	(0.198)	(0.176)	(0.198)		(0.202)	(0.241)	
lnL	0.320***	0.320***	0.320***	0.320***	0.320***	0.320***										
	(0.0549)	(0.0549)	(0.0549)	(0.0549)	(0.0549)	(0.0549)										
foreign	0.412***	0.412***	0.412***	0.412***	0.412***	0.412***	0.576***	0.519***	0.519***	0.432***	0.519***	0.432***	1.162**	0.518***	0.408**	1.235***
	(0.114)	(0.114)	(0.114)	(0.114)	(0.114)	(0.114)	(0.124)	(0.145)	(0.145)	(0.161)	(0.145)	(0.161)	(0.453)	(0.150)	(0.169)	(0.427)
entrepreneur								-0.154	-0.154	-0.211	-0.154	-0.211	-0.498	-0.102	-0.149	-0.606
								(0.144)	(0.144)	(0.160)	(0.144)	(0.160)	(0.346)	(0.145)	(0.163)	(0.401)
Constant	0.479	0.479	0.479	0.479	0.479	0.479	1.931***	2.075***	2.075***	1.969***	2.075***	1.969***	2.092***	2.044***	1.876***	2.095***
	(0.291)	(0.291)	(0.291)	(0.291)	(0.291)	(0.291)	(0.141)	(0.212)	(0.212)	(0.230)	(0.212)	(0.230)	(0.582)	(0.239)	(0.270)	(0.576)
																
Observations	115	115	115	115	115	115	115	115	115	87	115	87	28	108	79	29
R-squared	0.485	0.485	0.485	0.485	0.485	0.485	0.368	0.376	0.376	0.427	0.376	0.427	0.428	0.349	0.395	0.428
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
