	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
VARIABLES	management	management	management	management	management	management	management	management	management	management	management	management	management	management	management	management	management	management
																		
1950.cohort_respondent	0.0274	0.0274	0.0274	0.0274	0.0274	-0.0753	0.0274	-0.0753	0.0736	0.0775	0.00448	-0.0121	0.00448	-0.0121	0.00448	-0.0121	0.148	0.101
	(0.231)	(0.231)	(0.231)	(0.231)	(0.231)	(0.444)	(0.231)	(0.444)	(0.297)	(0.469)	(0.257)	(0.464)	(0.257)	(0.464)	(0.257)	(0.464)	(0.411)	(0.603)
1955.cohort_respondent	0.533***	0.533***	0.533***	0.533***	0.533***	0.200	0.533***	0.200	0.708***	0.399*	0.638***	0.389	0.638***	0.389	0.638***	0.389	0.768***	0.508*
	(0.173)	(0.173)	(0.173)	(0.173)	(0.173)	(0.260)	(0.173)	(0.260)	(0.173)	(0.233)	(0.172)	(0.256)	(0.172)	(0.256)	(0.172)	(0.256)	(0.206)	(0.293)
1960.cohort_respondent	0.728***	0.728***	0.728***	0.728***	0.728***	0.260	0.728***	0.260	0.877***	0.429	0.687**	0.354	0.687**	0.354	0.687**	0.354	0.914***	0.574
	(0.255)	(0.255)	(0.255)	(0.255)	(0.255)	(0.393)	(0.255)	(0.393)	(0.249)	(0.368)	(0.283)	(0.402)	(0.283)	(0.402)	(0.283)	(0.402)	(0.299)	(0.428)
1965.cohort_respondent	1.044***	1.044***	1.044***	1.044***	1.044***	0.570	1.044***	0.570	1.198***	0.735**	1.119***	0.722*	1.119***	0.722*	1.119***	0.722*	1.232***	0.792*
	(0.156)	(0.156)	(0.156)	(0.156)	(0.156)	(0.366)	(0.156)	(0.366)	(0.176)	(0.350)	(0.175)	(0.369)	(0.175)	(0.369)	(0.175)	(0.369)	(0.215)	(0.405)
1970.cohort_respondent	0.872***	0.872***	0.872***	0.872***	0.872***	0.490	0.872***	0.490	1.264***	0.922***	1.112***	0.864**	1.112***	0.864**	1.112***	0.864**	1.259***	1.021**
	(0.180)	(0.180)	(0.180)	(0.180)	(0.180)	(0.386)	(0.180)	(0.386)	(0.180)	(0.349)	(0.195)	(0.369)	(0.195)	(0.369)	(0.195)	(0.369)	(0.225)	(0.401)
1975.cohort_respondent	0.610***	0.610***	0.610***	0.610***	0.610***	0.135	0.610***	0.135	0.764***	0.332	0.639***	0.282	0.639***	0.282	0.639***	0.282	0.779***	0.406
	(0.179)	(0.179)	(0.179)	(0.179)	(0.179)	(0.366)	(0.179)	(0.366)	(0.193)	(0.351)	(0.212)	(0.374)	(0.212)	(0.374)	(0.212)	(0.374)	(0.240)	(0.404)
1980.cohort_respondent	0.801***	0.801***	0.801***	0.801***	0.801***	0.319	0.801***	0.319	0.929***	0.478	0.781***	0.439	0.781***	0.439	0.781***	0.439	0.948***	0.608
	(0.160)	(0.160)	(0.160)	(0.160)	(0.160)	(0.342)	(0.160)	(0.342)	(0.184)	(0.323)	(0.184)	(0.346)	(0.184)	(0.346)	(0.184)	(0.346)	(0.220)	(0.387)
1985.cohort_respondent	0.756***	0.756***	0.756***	0.756***	0.756***	0.533	0.756***	0.533	0.942***	0.812**	0.867***	0.782**	0.867***	0.782**	0.867***	0.782**	1.001***	1.009**
	(0.209)	(0.209)	(0.209)	(0.209)	(0.209)	(0.373)	(0.209)	(0.373)	(0.225)	(0.348)	(0.206)	(0.365)	(0.206)	(0.365)	(0.206)	(0.365)	(0.248)	(0.423)
1990.cohort_respondent	0.972***	0.972***	0.972***	0.972***	0.972***	0.475	0.972***	0.475	1.061***	0.617*	0.894***	0.548	0.894***	0.548	0.894***	0.548	1.052***	0.720*
