	(1)	(2)	(3)	(4)	(5)
VARIABLES	management	management	management	management	management
					
modern_ceo		0.177		0.0264	0.0648
		(0.143)		(0.155)	(0.120)
modern_respondent			0.424***	0.410**	0.261*
			(0.162)	(0.180)	(0.144)
lnL					0.342***
					(0.0585)
foreign					0.478***
					(0.117)
modern_firm	-0.417**				
	(0.168)				
Constant	3.216***	2.746***	2.527***	2.523***	0.719**
	(0.151)	(0.112)	(0.141)	(0.147)	(0.308)
					
Observations	118	111	118	111	111
R-squared	0.029	0.015	0.067	0.069	0.415
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
